2016/06/15,18:07:25.321,MODE_ANSWER,START 3.01
2016/06/15,18:07:28.656,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,93
2016/06/15,18:07:28.844,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,90
2016/06/15,18:07:29.051,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,97
2016/06/15,18:07:29.430,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:29.617,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:29.805,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,62
2016/06/15,18:07:29.961,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:30.164,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:30.352,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1,62
2016/06/15,18:07:30.680,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,62
2016/06/15,18:07:30.852,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,109
2016/06/15,18:07:31.336,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,93
2016/06/15,18:07:31.524,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1,62
2016/06/15,18:07:31.649,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,140
2016/06/15,18:07:31.883,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,62
2016/06/15,18:07:32.242,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:32.383,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:32.805,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,78
2016/06/15,18:07:33.008,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,46
2016/06/15,18:07:33.160,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1,33
2016/06/15,18:07:33.311,MODE_ANSWER,STYLUS FF000000 1;1,1,-1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1 -1:-1,1075
2016/06/15,18:07:40.297,MODE_ANSWER,STYLUS FF000000 1;1,1,645:1088 644:1088 644:1089 643:1091 643:1094 643:1097 643:1098 637:1121 635:1126 633:1131 631:1136 629:1139,140
2016/06/15,18:07:40.657,MODE_ANSWER,STYLUS FF000000 1;1,1,668:1128 666:1130 664:1132 661:1134 659:1136 658:1139 658:1141 659:1142 661:1143 664:1143 670:1143 676:1143 682:1142 695:1141,171
2016/06/15,18:07:40.969,MODE_ANSWER,STYLUS FF000000 1;1,1,674:1127 672:1148 671:1169 671:1172,62
2016/06/15,18:07:41.172,MODE_ANSWER,STYLUS FF000000 1;1,1,731:1126 729:1133 726:1139 724:1146 722:1151 720:1156 719:1162 718:1167 718:1170 721:1171 724:1170 727:1169 730:1167 732:1165 734:1163 736:1160 733:1161 731:1161 728:1162 726:1164 724:1166 723:1167 722:1169 721:1171,203
2016/06/15,18:07:48.769,MODE_ANSWER,STYLUS FF000000 1;1,1,751:1336 752:1334 753:1331 754:1329 757:1328 760:1326 763:1325 766:1323 769:1323 775:1321 780:1320 786:1319 790:1319 793:1319 796:1319 800:1320 806:1322 811:1324 817:1326 831:1332 835:1334 838:1337 841:1340 844:1343 846:1344 847:1344 847:1343 848:1339,312
2016/06/15,18:07:49.910,MODE_ANSWER,STYLUS FF000000 1;1,1,817:1261 815:1258 813:1255 810:1253 807:1251 804:1250 801:1250 798:1250 795:1251 791:1252 788:1254 785:1256 782:1259 781:1262 780:1264 780:1267 782:1270 784:1276 788:1281 790:1286 792:1289 793:1292 794:1296 795:1299 795:1301 795:1302 794:1303 791:1303 788:1301 786:1299 785:1295 785:1293 786:1290 787:1288 788:1286 790:1283 792:1281 794:1279 797:1277 800:1276 803:1274 806:1273 808:1272 811:1272 813:1272 815:1271 818:1271,381
2016/06/15,18:07:51.976,MODE_ANSWER,STYLUS FF000000 1;1,1,834:1262 834:1258 837:1259 839:1260 840:1261 840:1264 840:1269 840:1272 838:1275 837:1279 834:1284 831:1288 829:1292 827:1295 827:1297 827:1299 829:1301 831:1302 834:1302 837:1302 840:1302 853:1303 856:1303 857:1302 858:1301 859:1299,234
2016/06/15,18:07:55.827,MODE_ANSWER,STYLUS FF000000 1;1,1,1057:2766 1054:2764 1053:2766 1053:2769 1054:2773 1054:2777 1055:2781 1058:2818 1058:2823 1058:2828 1059:2832 1061:2837 1064:2836 1067:2835 1071:2834 1074:2835 1078:2836 1081:2839 1084:2842 1085:2846 1087:2852 1086:2858 1085:2863 1083:2869 1080:2875 1077:2880 1074:2886 1070:2891 1068:2894 1066:2897 1063:2900 1061:2903 1058:2904 1055:2904 1054:2904 1053:2904 1052:2902,296
2016/06/15,18:07:56.265,MODE_ANSWER,STYLUS FF000000 1;1,1,1059:2797 1064:2796 1068:2795 1073:2794 1081:2794 1088:2793 1095:2792 1102:2791 1108:2789 1115:2788,93
2016/06/15,18:07:56.483,MODE_ANSWER,STYLUS FF000000 1;1,1,1139:2784 1141:2787 1144:2788 1147:2789 1151:2790 1155:2791 1160:2792 1164:2794 1168:2796 1171:2798 1172:2801 1171:2805 1170:2808 1168:2811 1162:2820 1156:2828 1150:2837 1146:2842 1143:2847 1140:2853 1138:2860 1138:2863 1138:2866 1140:2869 1143:2870 1147:2872 1151:2873 1155:2874 1160:2875 1163:2876 1166:2877 1170:2878 1174:2878 1177:2878 1180:2876 1182:2873 1184:2870 1185:2866,281
2016/06/15,18:07:56.874,MODE_ANSWER,STYLUS FF000000 1;1,1,1236:2814 1233:2813 1230:2811 1228:2808 1226:2805 1225:2801 1224:2797 1225:2793 1227:2789 1229:2786 1232:2783 1236:2782 1240:2782 1244:2783 1246:2786 1248:2790 1248:2794 1247:2799 1245:2803 1243:2807 1240:2810 1238:2813 1236:2815 1234:2816 1230:2817,187
2016/06/15,18:08:01.430,MODE_ANSWER,STYLUS FF000000 1;1,1,1615:1009 1614:1015 1612:1020 1610:1025 1607:1031 1601:1040 1595:1049 1588:1057 1580:1065 1573:1072 1565:1079 1557:1086 1549:1092 1545:1093 1543:1094 1541:1095 1539:1097,109
2016/06/15,18:08:01.742,MODE_ANSWER,STYLUS FF000000 1;1,1,1607:1073 1603:1077 1598:1080 1593:1083 1576:1094 1573:1095 1571:1097 1570:1099 1570:1102 1573:1105 1576:1107 1580:1108 1583:1110 1588:1112 1593:1113 1598:1114 1603:1115 1606:1116 1609:1116 1613:1116,203
2016/06/15,18:08:02.086,MODE_ANSWER,STYLUS FF000000 1;1,1,1606:1098 1596:1121 1587:1143 1587:1146,62
2016/06/15,18:08:02.305,MODE_ANSWER,STYLUS FF000000 1;1,1,1661:1101 1661:1099 1660:1097 1659:1095 1656:1094 1653:1093 1650:1093 1647:1094 1644:1094 1641:1095 1637:1097 1635:1099 1632:1102 1630:1106 1629:1110 1629:1115 1630:1119 1630:1124 1632:1128 1633:1133 1634:1137 1635:1140 1635:1143 1634:1146 1632:1148 1630:1150 1628:1150 1625:1149 1623:1148 1623:1145 1623:1142 1624:1139 1625:1136 1627:1133 1630:1130 1632:1127 1636:1124 1639:1122 1643:1120 1646:1119 1650:1117 1653:1116 1657:1115 1660:1114 1663:1113 1665:1113,343
2016/06/15,18:08:07.804,MODE_ANSWER,STYLUS FF000000 1;1,1,1661:1208 1655:1214 1649:1219 1643:1226 1638:1233 1631:1241 1624:1250 1617:1259 1612:1268 1609:1273 1606:1277 1603:1282 1600:1286,78
2016/06/15,18:08:08.570,MODE_ANSWER,STYLUS FF000000 1;1,1,1852:1032 1847:1045 1842:1058 1836:1070 1830:1083 1825:1093 1819:1103 1814:1113 1808:1123,46
2016/06/15,18:08:10.996,MODE_ANSWER,STYLUS FF000000 1;1,1,1681:1460 1667:1490 1661:1507 1654:1523 1647:1540 1643:1552 1637:1563 1632:1574,93
2016/06/15,18:08:11.222,MODE_ANSWER,STYLUS FF000000 1;1,1,1724:1478 1725:1483 1726:1488 1726:1493 1726:1498 1725:1503 1723:1508 1719:1512 1716:1516 1711:1519 1706:1522 1700:1525 1695:1528 1693:1529 1691:1529 1690:1530 1688:1530 1692:1530 1696:1530 1699:1531 1703:1533 1707:1537 1710:1541 1712:1545 1713:1550 1712:1556 1710:1561 1707:1566 1702:1570 1697:1573 1692:1574 1686:1575 1681:1576 1676:1575 1674:1574 1673:1572 1673:1569 1674:1565,277
2016/06/15,18:08:11.625,MODE_ANSWER,STYLUS FF000000 1;1,1,1738:1501 1740:1502 1742:1503 1744:1504 1745:1506 1747:1509 1749:1512 1750:1515 1750:1518 1750:1522 1748:1525 1746:1528 1743:1531 1742:1532 1739:1534 1737:1536 1736:1538 1736:1540 1739:1543 1742:1544 1746:1545 1749:1546 1753:1546 1757:1546 1761:1545 1763:1545 1764:1545 1765:1545,218
2016/06/15,18:08:14.386,MODE_ANSWER,STYLUS FF000000 1;1,1,1713:2773 1712:2772 1711:2773 1709:2775 1707:2777 1706:2780 1705:2782 1698:2793 1693:2803 1687:2814 1681:2825 1675:2837 1669:2850 1663:2863 1659:2876 1657:2880 1656:2885 1655:2890 1655:2895 1656:2900 1659:2903 1662:2905 1666:2905 1669:2903 1673:2901 1676:2898 1678:2896 1684:2890 1689:2883 1693:2876 1696:2868 1697:2864 1698:2862 1698:2859 1698:2857 1694:2855 1690:2855 1687:2856 1683:2857 1680:2860 1673:2864 1668:2869 1662:2874 1657:2880 1655:2881 1653:2882 1653:2883 1652:2885,281
2016/06/15,18:08:14.995,MODE_ANSWER,STYLUS FF000000 1;1,1,1800:2774 1793:2785 1785:2797 1778:2808 1771:2821 1765:2834 1759:2847 1753:2860 1751:2867 1749:2874 1748:2881 1747:2888 1749:2894 1750:2898 1753:2900 1756:2900 1759:2899 1763:2897 1769:2891 1774:2885 1778:2878 1782:2871 1784:2865 1785:2860 1785:2854 1784:2849 1779:2848 1776:2848 1772:2850 1768:2853 1764:2855 1761:2859 1757:2862 1753:2864 1752:2865 1752:2863 1754:2861 1755:2859 1757:2857,296
