2016/06/06,00:39:41.443,MODE_ANSWER,START 3.01
2016/06/06,00:39:47.514,MODE_ANSWER,STYLUS FF000000 1;1,1,1026:1116 1025:1113 1024:1110 1023:1107 1021:1104 1017:1100 1013:1097 1008:1094 1001:1092 995:1090 988:1088 950:1078 940:1076 931:1075 922:1074 912:1074 901:1075 890:1076 879:1077 868:1080 820:1093 808:1097 796:1101 785:1105 774:1110 762:1115 752:1121 741:1128 731:1135 721:1143 711:1151 702:1159 693:1167 681:1179 671:1191 660:1203 650:1217 640:1231 631:1245 623:1256 616:1267 609:1278 603:1290 579:1336 560:1383 554:1398 550:1413 546:1428 544:1439 543:1450 543:1460 543:1471 544:1482 546:1492 548:1502 551:1512 555:1522 559:1532 563:1542 568:1552 576:1565 585:1578 594:1591 601:1600 608:1610 616:1620 624:1629 635:1641 646:1653 658:1665 667:1674 677:1683 687:1692 697:1700 707:1709 718:1717 729:1724 740:1731 753:1738 765:1744 778:1750 791:1755 810:1762 828:1768 847:1773 862:1777 877:1779 892:1781 907:1783 923:1784 938:1784 954:1784 970:1783 986:1781 1002:1779 1019:1776 1035:1772 1050:1767 1066:1762 1081:1756 1096:1749 1110:1741 1124:1733 1137:1724 1150:1715 1162:1704 1174:1693 1186:1681 1197:1669 1207:1657 1216:1644 1226:1631 1234:1617 1242:1604 1250:1591 1256:1577 1262:1563 1267:1549 1271:1535 1275:1520 1278:1505 1280:1491 1281:1477 1282:1463 1283:1448 1283:1434 1282:1420 1281:1406 1280:1392 1277:1373 1274:1354 1270:1335 1266:1322 1262:1309 1257:1296 1252:1283 1245:1267 1238:1250 1230:1235 1222:1219 1213:1205 1203:1190 1195:1180 1186:1170 1177:1161 1168:1152 1155:1141 1141:1130 1127:1120 1113:1112 1098:1103 1083:1096 1072:1091 1060:1086 1048:1083 1036:1080 1021:1077 1006:1076 992:1077 977:1078 964:1079 951:1082 939:1084 926:1087,1395
2016/06/06,00:39:50.722,MODE_ANSWER,STYLUS FF000000 1;1,1,940:1455 942:1457 943:1457 944:1457 947:1457 947:1454 947:1451 946:1449 944:1447 941:1445 938:1443 935:1442 932:1441 928:1441 925:1441 922:1441 919:1442 916:1443 915:1446 915:1448 916:1451 918:1453 920:1454 923:1456 925:1457 928:1457 931:1456 933:1455 935:1453 936:1450 936:1448 935:1445 935:1442 933:1440 931:1438 929:1437 926:1437 923:1437 921:1438 919:1440 917:1442 915:1444 915:1446 914:1449 915:1451 916:1453 917:1453 919:1453 921:1452 923:1452,468
2016/06/06,00:39:53.640,MODE_ANSWER,STYLUS FF000000 1;1,1,933:1438 934:1434 934:1430 934:1426 933:1406 932:1377 929:1342 924:1298 918:1245 912:1195 906:1155 902:1127 901:1125 900:1121 900:1117 899:1113 899:1111 902:1112,343
2016/06/06,00:39:54.421,MODE_ANSWER,STYLUS FF000000 1;1,1,907:1102 917:1108 921:1111 924:1114 927:1117 929:1121 933:1128 936:1134 939:1141,109
2016/06/06,00:39:54.811,MODE_ANSWER,STYLUS FF000000 1;1,1,943:1443 947:1442 950:1441 954:1440 957:1439 961:1436 965:1433 968:1429 970:1425 973:1417 974:1409 975:1401 975:1393 975:1384,93
2016/06/06,00:39:55.108,MODE_ANSWER,STYLUS FF000000 1;1,1,955:1252 958:1252 962:1252 965:1252 968:1253 972:1255 976:1257 979:1259 982:1262 984:1265 986:1269 988:1274 988:1278 988:1283 987:1287 986:1291 984:1295 981:1298 979:1299 977:1300 973:1300 972:1300 971:1300 970:1299 970:1298 973:1297 976:1297 979:1298 982:1299 987:1301 991:1303 995:1306 999:1309 1001:1310 1003:1310 1004:1311 1005:1312,250
2016/06/06,00:39:57.168,MODE_ANSWER,STYLUS FF000000 1;1,1,999:1618 1002:1619 1005:1620 1007:1620 1010:1619 1012:1617 1014:1615 1016:1612 1017:1609 1017:1607 1017:1604 1016:1601 1015:1598 1013:1596 1011:1594 1008:1592 1005:1591 1002:1591 1000:1591 999:1593 997:1595 996:1599 996:1602 997:1606 998:1609 1000:1613 1002:1616 1005:1618 1008:1620 1011:1620 1013:1620 1016:1619 1017:1617 1018:1614 1018:1611 1017:1608 1015:1605 1013:1603 1011:1601 1008:1600 1005:1599 1003:1599 1001:1601 1001:1604 1001:1606 1002:1608 1003:1609 1004:1610 1006:1611 1008:1611 1008:1610 1007:1609 1006:1607,500
2016/06/06,00:39:57.887,MODE_ANSWER,STYLUS FF000000 1;1,1,1057:1519 1059:1522 1060:1524 1061:1527 1061:1530 1061:1538 1061:1545 1060:1552 1059:1563 1057:1575 1055:1586 1054:1593 1053:1601 1052:1609,109
2016/06/06,00:39:58.184,MODE_ANSWER,STYLUS FF000000 1;1,1,1056:1533 1059:1531 1062:1530 1065:1529 1068:1529 1070:1529 1073:1529 1075:1531 1077:1533 1079:1536 1081:1540 1082:1543 1082:1547 1082:1552 1081:1556 1079:1559 1076:1562 1073:1565 1069:1567 1065:1569 1060:1569,156
2016/06/06,00:39:59.840,MODE_ANSWER,STYLUS FF000000 1;1,1,1108:1762 1093:1736 1079:1711 1075:1704 1070:1696 1065:1688 1050:1662 1045:1650 1039:1638 1034:1627 1030:1618 1026:1610 1021:1601 1006:1575 1002:1567 997:1560 992:1552 986:1545 981:1539 976:1532 962:1511 951:1489 947:1483 944:1476 940:1470 928:1448 916:1427 904:1405 892:1381 879:1359 866:1337 853:1311 839:1282 834:1273 829:1263 824:1254 806:1222 788:1191 770:1161 751:1126 744:1112 736:1098 727:1084 721:1075 715:1067 709:1059 693:1035 679:1011 668:994 661:983,939
